"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "Markdown", "CSV", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\programs\csv\15-1241.csv", "CSV", 0, 0, 0, 0, 193, 0, 0, 0, 1, 194
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\programs\data.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 1, 15
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\index.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\about.scss", "SCSS", 0, 0, 0, 0, 0, 343, 0, 13, 1, 357
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\media.scss", "SCSS", 0, 0, 0, 0, 0, 80, 0, 6, 0, 86
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\teacherinfo.scss", "SCSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 44
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\uniforms.scss", "SCSS", 0, 0, 0, 0, 0, 51, 0, 0, 0, 51
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\contact\contact.scss", "SCSS", 0, 0, 0, 0, 0, 27, 0, 0, 0, 27
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\contact\media.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 0, 0, 41
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\feedback\feedback.scss", "SCSS", 0, 0, 0, 0, 0, 109, 0, 0, 1, 110
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\dark.scss", "SCSS", 0, 0, 0, 0, 0, 209, 0, 2, 34, 245
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\functions.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
