"filename", "language", "Markdown", "SCSS", "JavaScript", "JavaScript JSX", "JSON", "CSV", "XML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\home\data.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\home\head\data.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\jobs\csv\15-1241.csv", "CSV", 0, 0, 0, 0, 0, 193, 0, 0, 1, 194
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\jobs\data.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\index.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\about.scss", "SCSS", 0, 351, 0, 0, 0, 0, 0, 0, 1, 352
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\media.scss", "SCSS", 0, 81, 0, 0, 0, 0, 0, 0, 0, 81
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\teacherinfo.scss", "SCSS", 0, 44, 0, 0, 0, 0, 0, 0, 0, 44
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\uniforms.scss", "SCSS", 0, 54, 0, 0, 0, 0, 0, 0, 0, 54
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\contact\contact.scss", "SCSS", 0, 27, 0, 0, 0, 0, 0, 0, 0, 27
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\contact\media.scss", "SCSS", 0, 41, 0, 0, 0, 0, 0, 0, 0, 41
