Date : 2023-06-08 10:03:44
Directory : c:\Users\finkelsteinc\Code\Github\itdepartment\client\src
Total : 92 files,  3982 codes, 13 comments, 184 blanks, all 4179 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\dark.scss                           | SCSS           |        247 |          0 |         34 |        281 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\functions.scss                      | SCSS           |          3 |          0 |          0 |          3 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\header.scss                  | SCSS           |        169 |          0 |          1 |        170 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\media.scss                   | SCSS           |         67 |          0 |          0 |         67 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\settings\settings.scss              | SCSS           |        288 |          0 |          3 |        291 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\uni.scss                            | SCSS           |        102 |          0 |          2 |        104 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\vars.scss                           | SCSS           |         26 |          0 |          3 |         29 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\home.scss                             | SCSS           |        261 |          0 |          1 |        262 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\media.scss                            | SCSS           |        129 |          0 |          1 |        130 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\jobs\jobs.scss                             | SCSS           |         73 |          0 |          0 |         73 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\jobs\media.scss                            | SCSS           |         35 |          0 |          0 |         35 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\jobs\pages.scss                            | SCSS           |         62 |          0 |          2 |         64 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\videos\README.md                                  | Markdown       |          1 |          0 |          0 |          1 |
| Total                                                                                                       |                |      3,982 |         13 |        184 |      4,179 |
+-------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
